2018-05-01 10:56:09.381347: step 0, loss = 7116.50 (0.7 examples/sec; 21.655 sec/batch)
2018-05-01 10:57:07.938051: step 10, loss = 155.42 (3.1 examples/sec; 5.147 sec/batch)
2018-05-01 10:57:59.257023: step 20, loss = 81.51 (3.2 examples/sec; 5.070 sec/batch)
2018-05-01 10:58:50.291176: step 30, loss = 44.13 (3.2 examples/sec; 5.046 sec/batch)
2018-05-01 10:59:41.715687: step 40, loss = 41.68 (3.1 examples/sec; 5.137 sec/batch)
2018-05-01 11:00:33.279490: step 50, loss = 33.53 (3.1 examples/sec; 5.177 sec/batch)
2018-05-01 11:01:24.321754: step 60, loss = 33.97 (3.1 examples/sec; 5.182 sec/batch)
2018-05-01 11:02:12.685814: step 70, loss = 34.57 (3.2 examples/sec; 5.031 sec/batch)
2018-05-01 11:03:03.839085: step 80, loss = 34.74 (3.1 examples/sec; 5.190 sec/batch)
2018-05-01 11:03:54.597663: step 90, loss = 30.10 (3.1 examples/sec; 5.086 sec/batch)
2018-05-01 11:04:46.413351: step 100, loss = 31.75 (3.2 examples/sec; 5.071 sec/batch)
2018-05-01 11:05:41.736815: step 110, loss = 29.55 (3.0 examples/sec; 5.307 sec/batch)
2018-05-01 11:06:32.422275: step 120, loss = 29.83 (3.2 examples/sec; 5.004 sec/batch)
2018-05-01 11:07:23.664620: step 130, loss = 32.85 (3.2 examples/sec; 5.011 sec/batch)
2018-05-01 11:08:14.896345: step 140, loss = 31.44 (3.1 examples/sec; 5.102 sec/batch)
2018-05-01 11:09:06.675742: step 150, loss = 29.61 (3.2 examples/sec; 5.054 sec/batch)
2018-05-01 11:09:57.664729: step 160, loss = 30.31 (3.1 examples/sec; 5.111 sec/batch)
2018-05-01 11:10:48.822877: step 170, loss = 31.28 (3.1 examples/sec; 5.177 sec/batch)
2018-05-01 11:11:39.989666: step 180, loss = 31.81 (3.2 examples/sec; 5.056 sec/batch)
2018-05-01 11:12:28.221734: step 190, loss = 29.80 (3.2 examples/sec; 5.023 sec/batch)
2018-05-01 11:13:19.121714: step 200, loss = 27.57 (3.1 examples/sec; 5.213 sec/batch)
2018-05-01 11:14:14.250204: step 210, loss = 29.12 (3.1 examples/sec; 5.082 sec/batch)
2018-05-01 11:15:05.063802: step 220, loss = 29.83 (3.1 examples/sec; 5.129 sec/batch)
2018-05-01 11:15:56.463586: step 230, loss = 29.84 (3.1 examples/sec; 5.157 sec/batch)
2018-05-01 11:16:47.954309: step 240, loss = 31.39 (3.1 examples/sec; 5.104 sec/batch)
2018-05-01 11:17:39.335420: step 250, loss = 30.81 (3.1 examples/sec; 5.198 sec/batch)
2018-05-01 11:18:30.465195: step 260, loss = 29.46 (3.1 examples/sec; 5.138 sec/batch)
2018-05-01 11:19:21.597250: step 270, loss = 29.11 (3.1 examples/sec; 5.162 sec/batch)
2018-05-01 11:20:13.147952: step 280, loss = 30.95 (3.2 examples/sec; 5.011 sec/batch)
2018-05-01 11:21:04.735519: step 290, loss = 29.84 (3.2 examples/sec; 5.062 sec/batch)
2018-05-01 11:21:55.805029: step 300, loss = 31.63 (3.2 examples/sec; 4.963 sec/batch)
2018-05-01 11:22:47.908808: step 310, loss = 31.59 (3.1 examples/sec; 5.113 sec/batch)
2018-05-01 11:23:38.869454: step 320, loss = 30.30 (3.1 examples/sec; 5.101 sec/batch)
2018-05-01 11:24:29.937547: step 330, loss = 29.28 (3.1 examples/sec; 5.105 sec/batch)
2018-05-01 11:25:20.897911: step 340, loss = 32.50 (3.2 examples/sec; 4.998 sec/batch)
2018-05-01 11:26:11.871257: step 350, loss = 28.75 (3.1 examples/sec; 5.103 sec/batch)
2018-05-01 11:27:03.598724: step 360, loss = 30.58 (3.2 examples/sec; 5.058 sec/batch)
2018-05-01 11:27:54.690243: step 370, loss = 29.61 (3.2 examples/sec; 5.039 sec/batch)
2018-05-01 11:28:46.050767: step 380, loss = 30.55 (3.2 examples/sec; 5.026 sec/batch)
2018-05-01 11:29:37.404065: step 390, loss = 28.14 (3.1 examples/sec; 5.085 sec/batch)
2018-05-01 11:30:28.178788: step 400, loss = 29.36 (3.2 examples/sec; 5.015 sec/batch)
2018-05-01 11:31:23.084162: step 410, loss = 30.28 (3.2 examples/sec; 5.074 sec/batch)
2018-05-01 11:32:14.761549: step 420, loss = 31.16 (2.9 examples/sec; 5.437 sec/batch)
2018-05-01 11:33:03.481544: step 430, loss = 30.60 (3.2 examples/sec; 5.062 sec/batch)
2018-05-01 11:33:54.569681: step 440, loss = 30.99 (3.1 examples/sec; 5.178 sec/batch)
2018-05-01 11:34:46.097118: step 450, loss = 29.10 (3.2 examples/sec; 5.047 sec/batch)
2018-05-01 11:35:37.671026: step 460, loss = 31.03 (3.1 examples/sec; 5.099 sec/batch)
2018-05-01 11:36:28.846050: step 470, loss = 31.30 (3.1 examples/sec; 5.098 sec/batch)
2018-05-01 11:37:20.103720: step 480, loss = 28.95 (3.1 examples/sec; 5.134 sec/batch)
2018-05-01 11:38:11.707291: step 490, loss = 30.76 (3.1 examples/sec; 5.166 sec/batch)
2018-05-01 11:39:03.036809: step 500, loss = 29.33 (3.2 examples/sec; 5.065 sec/batch)
2018-05-01 11:39:57.269113: step 510, loss = 30.58 (3.1 examples/sec; 5.083 sec/batch)
2018-05-01 11:40:47.583085: step 520, loss = 29.05 (3.1 examples/sec; 5.126 sec/batch)
2018-05-01 11:41:41.216713: step 530, loss = 29.07 (3.1 examples/sec; 5.229 sec/batch)
2018-05-01 11:42:35.014735: step 540, loss = 32.00 (3.0 examples/sec; 5.251 sec/batch)
2018-05-01 11:43:27.026886: step 550, loss = 33.10 (2.9 examples/sec; 5.508 sec/batch)
2018-05-01 11:44:37.757212: step 560, loss = 29.24 (2.1 examples/sec; 7.607 sec/batch)
2018-05-01 11:45:57.804708: step 570, loss = 31.08 (2.0 examples/sec; 7.839 sec/batch)
2018-05-01 11:47:17.920471: step 580, loss = 31.36 (2.0 examples/sec; 7.851 sec/batch)
2018-05-01 11:48:22.335060: step 590, loss = 29.65 (3.1 examples/sec; 5.130 sec/batch)
2018-05-01 11:49:13.697042: step 600, loss = 30.95 (3.2 examples/sec; 5.065 sec/batch)
2018-05-01 11:50:14.895327: step 610, loss = 27.57 (3.0 examples/sec; 5.261 sec/batch)
2018-05-01 11:51:21.859369: step 620, loss = 28.58 (2.2 examples/sec; 7.353 sec/batch)
